seed_id,seed_title,rank,recommended_id,recommended_title,similarity_label,similarity_score_10,reason,seed_genres,recommended_genres,seed_tags,recommended_tags
16498,Attack on Titan,1,20958,Attack on Titan Season 2,2,10,"Season 2 continues the story directly after the events of the seed, expanding the Titan conflict and character arcs.",Action|Drama|Fantasy|Mystery,Action|Drama|Fantasy|Mystery,Kaiju|Revenge|Military|Tragedy|Primarily Teen Cast|Post-Apocalyptic|Male Protagonist|Super Power|Henshin|Gore|Memory Manipulation|Dystopian|Swordplay|Ensemble Cast|Steampunk|Survival|Vore|Orphan|Cannibalism|Espionage|Shounen|Time Skip|Amnesia|Coming of Age|Kuudere|Suicide|Rural|Medieval|Adoption|Primarily Male Cast,Survival|Post-Apocalyptic|Shapeshifting|Tragedy|Espionage|Military|Kaiju|Dystopian|Primarily Teen Cast|Gore|Revenge|Politics|Henshin|Medieval|Anti-Hero|Ensemble Cast|Super Power|Shounen|Male Protagonist|Cult|Dissociative Identities|Coming of Age|Steampunk|Cannibalism|Kuudere|Primarily Male Cast|CGI|Swordplay|Yuri|Primarily Adult Cast|Unrequited Love|Matriarchy|Rural|LGBTQ+ Themes|Boarding School
16498,Attack on Titan,2,99147,Attack on Titan Season 3,2,9,Season 3 picks up the plot with deeper conspiracies and the battle for humanity’s secrets.,Action|Drama|Fantasy|Mystery,Action|Drama|Fantasy|Mystery,Kaiju|Revenge|Military|Tragedy|Primarily Teen Cast|Post-Apocalyptic|Male Protagonist|Super Power|Henshin|Gore|Memory Manipulation|Dystopian|Swordplay|Ensemble Cast|Steampunk|Survival|Vore|Orphan|Cannibalism|Espionage|Shounen|Time Skip|Amnesia|Coming of Age|Kuudere|Suicide|Rural|Medieval|Adoption|Primarily Male Cast,Conspiracy|Military|Tragedy|Shapeshifting|Politics|Memory Manipulation|Dystopian|Fugitive|Male Protagonist|Revenge|Henshin|Medieval|Super Power|Crime|Kaiju|Gore|Survival|Shounen|Guns|Ensemble Cast|Matriarchy|Anti-Hero|Primarily Male Cast|Yandere|CGI|Steampunk|Torture|Swordplay|Primarily Adult Cast|Kuudere|Crossdressing
16498,Attack on Titan,3,104578,Attack on Titan Season 3 Part 2,2,9,Season 3 Part 2 concludes the arc with the retaking of Shiganshina and major revelations.,Action|Drama|Fantasy|Mystery,Action|Drama|Fantasy|Mystery,Kaiju|Revenge|Military|Tragedy|Primarily Teen Cast|Post-Apocalyptic|Male Protagonist|Super Power|Henshin|Gore|Memory Manipulation|Dystopian|Swordplay|Ensemble Cast|Steampunk|Survival|Vore|Orphan|Cannibalism|Espionage|Shounen|Time Skip|Amnesia|Coming of Age|Kuudere|Suicide|Rural|Medieval|Adoption|Primarily Male Cast,Dystopian|Military|Conspiracy|Tragedy|Survival|Memory Manipulation|Shapeshifting|Super Power|Shounen|War|Espionage|Ensemble Cast|Revenge|Steampunk|Medieval|Male Protagonist|Gore|Primarily Adult Cast|Anti-Hero|Henshin|Primarily Male Cast|Swordplay|CGI|Dissociative Identities|Drugs|Kuudere|Kaiju|Matriarchy
16498,Attack on Titan,4,110277,Attack on Titan Final Season,2,9,"Final Season advances the war beyond the walls, showing Eren’s drastic new powers.",Action|Drama|Fantasy|Mystery,Action|Drama|Fantasy|Mystery,Kaiju|Revenge|Military|Tragedy|Primarily Teen Cast|Post-Apocalyptic|Male Protagonist|Super Power|Henshin|Gore|Memory Manipulation|Dystopian|Swordplay|Ensemble Cast|Steampunk|Survival|Vore|Orphan|Cannibalism|Espionage|Shounen|Time Skip|Amnesia|Coming of Age|Kuudere|Suicide|Rural|Medieval|Adoption|Primarily Male Cast,War|Tragedy|Military|Kaiju|Anti-Hero|Revenge|Politics|Dystopian|Survival|Time Skip|Ensemble Cast|Shapeshifting|Male Protagonist|Super Power|Primarily Male Cast|Shounen|Steampunk|Henshin|Coastal|Swordplay|Primarily Adult Cast|Conspiracy|Terrorism|Espionage|Gore|Philosophy|CGI|Body Horror|Foreign|Guns|Memory Manipulation|Matriarchy|Rotoscoping|Dissociative Identities|Rural|Kuudere
16498,Attack on Titan,5,131681,Attack on Titan Final Season Part 2,2,8,Final Season Part 2 intensifies the global conflict and explores the consequences of Eren’s actions.,Action|Drama|Fantasy|Mystery,Action|Drama|Fantasy|Mystery|Psychological,Kaiju|Revenge|Military|Tragedy|Primarily Teen Cast|Post-Apocalyptic|Male Protagonist|Super Power|Henshin|Gore|Memory Manipulation|Dystopian|Swordplay|Ensemble Cast|Steampunk|Survival|Vore|Orphan|Cannibalism|Espionage|Shounen|Time Skip|Amnesia|Coming of Age|Kuudere|Suicide|Rural|Medieval|Adoption|Primarily Male Cast,War|Tragedy|Revenge|Anti-Hero|Military|Survival|Memory Manipulation|Kaiju|Terrorism|Male Protagonist|Espionage|Foreign|Primarily Male Cast|Super Power|Henshin|Philosophy|Gore|Body Horror|Ensemble Cast|Primarily Adult Cast|Slavery|CGI|Amputation|Steampunk|Shounen|Alternate Universe|Guns|Cannibalism|Mythology|Female Protagonist|Kuudere|Matriarchy
16498,Attack on Titan,6,146984,Attack on Titan Final Season THE FINAL CHAPTERS Special 1,2,8,"The special episode offers exclusive footage and a bridge to the final arc, enriching the narrative.",Action|Drama|Fantasy|Mystery,Action|Drama|Fantasy|Mystery|Psychological,Kaiju|Revenge|Military|Tragedy|Primarily Teen Cast|Post-Apocalyptic|Male Protagonist|Super Power|Henshin|Gore|Memory Manipulation|Dystopian|Swordplay|Ensemble Cast|Steampunk|Survival|Vore|Orphan|Cannibalism|Espionage|Shounen|Time Skip|Amnesia|Coming of Age|Kuudere|Suicide|Rural|Medieval|Adoption|Primarily Male Cast,Tragedy|Survival|Kaiju|Terrorism|Super Power|Revenge|Military|Gore|Shapeshifting|Anti-Hero|Post-Apocalyptic|Dystopian|Foreign|Primarily Adult Cast|Ensemble Cast|Male Protagonist|Time Skip|CGI|Shounen|Female Protagonist|Class Struggle|Kuudere|Heterosexual|Suicide|Aviation|Ships|Tanned Skin|Matriarchy
16498,Attack on Titan,7,5114,Fullmetal Alchemist: Brotherhood,2,8,"Fullmetal Alchemist: Brotherhood shares military intrigue, tragic stakes, and moral dilemmas akin to AoT.",Action|Drama|Fantasy|Mystery,Action|Adventure|Drama|Fantasy,Kaiju|Revenge|Military|Tragedy|Primarily Teen Cast|Post-Apocalyptic|Male Protagonist|Super Power|Henshin|Gore|Memory Manipulation|Dystopian|Swordplay|Ensemble Cast|Steampunk|Survival|Vore|Orphan|Cannibalism|Espionage|Shounen|Time Skip|Amnesia|Coming of Age|Kuudere|Suicide|Rural|Medieval|Adoption|Primarily Male Cast,Alchemy|Conspiracy|Military|War|Tragedy|Shounen|Politics|Male Protagonist|Philosophy|Ensemble Cast|Coming of Age|Fugitive|Super Power|Foreign|Gods|Steampunk|Cyborg|Revenge|Disability|Necromancy|Travel|Lost Civilization|Anachronism|Religion|Chimera|Dissociative Identities|Primarily Male Cast|Gore|Orphan|Body Horror|Slapstick|Urban Fantasy|Kuudere|Tomboy|Shapeshifting|Guns|Demons|Chibi|Swordplay|Adoption|Trains|Cannibalism|Heterosexual|Desert|Tanned Skin|Vore|Tsundere|Crossdressing|Snowscape|Cultivation
16498,Attack on Titan,8,99634,Attack on Titan: Lost Girls,2,7,"Lost Girls provides an alternate perspective focusing on Annie and Mikasa, deepening the lore.",Action|Drama|Fantasy|Mystery,Action|Drama|Fantasy|Mystery,Kaiju|Revenge|Military|Tragedy|Primarily Teen Cast|Post-Apocalyptic|Male Protagonist|Super Power|Henshin|Gore|Memory Manipulation|Dystopian|Swordplay|Ensemble Cast|Steampunk|Survival|Vore|Orphan|Cannibalism|Espionage|Shounen|Time Skip|Amnesia|Coming of Age|Kuudere|Suicide|Rural|Medieval|Adoption|Primarily Male Cast,Female Protagonist|Steampunk|Alternate Universe|Tragedy|Military|Crime|Drugs|Coming of Age|Anti-Hero|Post-Apocalyptic|Primarily Female Cast|Gore|Super Power|Shounen|CGI|War|Mythology|Medieval
16498,Attack on Titan,9,119113,Attack on Titan ~Chronicle~,1,6,"Chronicle compiles the first three seasons, useful for catching up on the core story.",Action|Drama|Fantasy|Mystery,Action|Drama|Fantasy|Mystery,Kaiju|Revenge|Military|Tragedy|Primarily Teen Cast|Post-Apocalyptic|Male Protagonist|Super Power|Henshin|Gore|Memory Manipulation|Dystopian|Swordplay|Ensemble Cast|Steampunk|Survival|Vore|Orphan|Cannibalism|Espionage|Shounen|Time Skip|Amnesia|Coming of Age|Kuudere|Suicide|Rural|Medieval|Adoption|Primarily Male Cast,Kaiju|Post-Apocalyptic|Tragedy|Gore|Military|Steampunk|Shounen|Conspiracy|Anti-Hero|Super Power|Male Protagonist|Survival|Politics|Memory Manipulation|Espionage|Time Skip|Henshin|Kuudere|Medieval
16498,Attack on Titan,10,20829,Seraph of the End: Vampire Reign,1,6,"Seraph of the End features a post‑apocalyptic world, military factions, and revenge‑driven plot similar to AoT.",Action|Drama|Fantasy|Mystery,Action|Drama|Fantasy|Mystery|Supernatural,Kaiju|Revenge|Military|Tragedy|Primarily Teen Cast|Post-Apocalyptic|Male Protagonist|Super Power|Henshin|Gore|Memory Manipulation|Dystopian|Swordplay|Ensemble Cast|Steampunk|Survival|Vore|Orphan|Cannibalism|Espionage|Shounen|Time Skip|Amnesia|Coming of Age|Kuudere|Suicide|Rural|Medieval|Adoption|Primarily Male Cast,Vampire|Post-Apocalyptic|Urban Fantasy|Male Protagonist|Shounen|Military|Time Skip|War|Demons|Revenge|Swordplay|Lost Civilization|Primarily Teen Cast|Pandemic|Tragedy|Coming of Age|School|Tsundere|Rotoscoping|Heterosexual|Gore|Boys' Love|Primarily Adult Cast
16498,Attack on Titan,11,145665,NieR:Automata Ver1.1a,1,6,"NieR:Automata presents a dystopian, post‑human war with philosophical themes and intense action.",Action|Drama|Fantasy|Mystery,Action|Drama|Fantasy|Mystery|Psychological|Sci-Fi,Kaiju|Revenge|Military|Tragedy|Primarily Teen Cast|Post-Apocalyptic|Male Protagonist|Super Power|Henshin|Gore|Memory Manipulation|Dystopian|Swordplay|Ensemble Cast|Steampunk|Survival|Vore|Orphan|Cannibalism|Espionage|Shounen|Time Skip|Amnesia|Coming of Age|Kuudere|Suicide|Rural|Medieval|Adoption|Primarily Male Cast,Artificial Intelligence|Robots|Tragedy|Post-Apocalyptic|Lost Civilization|Female Protagonist|Philosophy|Anthropomorphism|Aliens|Swordplay|CGI|Dystopian|War|Memory Manipulation|Real Robot|Proxy Battle|Heterosexual|Male Protagonist|Amnesia|Body Swapping|Puppetry|Gods|Desert|Military|Survival|Virtual World|Revenge|Fishing|Nudity
