id,idMal,title_romaji,title_english,title_native,type,format,source,episodes,duration,status,season,seasonYear,start_date,end_date,averageScore,meanScore,popularity,favourites,genres,tags,studios,description,cover_image,isAdult
16498,16498,Shingeki no Kyojin,Attack on Titan,進撃の巨人,ANIME,TV,MANGA,25,24,FINISHED,SPRING,2013,2013-04-07,2013-09-28,85,85,1012731,80705,Action|Drama|Fantasy|Mystery,Kaiju|Revenge|Military|Tragedy|Primarily Teen Cast|Post-Apocalyptic|Male Protagonist|Super Power|Henshin|Gore|Memory Manipulation|Dystopian|Swordplay|Ensemble Cast|Steampunk|Survival|Vore|Orphan|Cannibalism|Espionage|Shounen|Time Skip|Amnesia|Coming of Age|Kuudere|Suicide|Rural|Medieval|Adoption|Primarily Male Cast,WIT STUDIO|Pony Canyon|Kodansha|Production I.G|Dentsu|Pony Canyon Enterprise|Mainichi Broadcasting System,"Several hundred years ago, humans were nearly exterminated by titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest of titans. Flash forward to the present and the city has not seen a titan in over 100 years. Teenage boy Eren and his foster sister Mikasa witness something horrific as the city walls are destroyed by a colossal titan that appears out of thin air. As the smaller titans flood the city, the two kids watch in horror as their mother is eaten alive. Eren vows that he will murder every single titan and take revenge for all of mankind. (Source: MangaHelpers)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx16498-buvcRTBx4NSm.jpg,False
101922,38000,Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,鬼滅の刃,ANIME,TV,MANGA,26,24,FINISHED,SPRING,2019,2019-04-06,2019-09-28,83,83,957326,57304,Action|Adventure|Drama|Fantasy|Supernatural,Demons|Shounen|Swordplay|Male Protagonist|Vampire|Tragedy|Primarily Teen Cast|Travel|Monster Girl|Revenge|Orphan|Gore|CGI|Primarily Male Cast|Mythology|Rural|Historical|Rotoscoping|Body Horror|Super Power|Curses|Chibi|Time Skip|Animals|Food,ufotable|Aniplex|Shueisha|Aniplex of America|ufotable,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family. (Source: Crunchyroll)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx101922-WBsBl0ClmgYL.jpg,False
113415,40748,Jujutsu Kaisen,JUJUTSU KAISEN,呪術廻戦,ANIME,TV,MANGA,24,24,FINISHED,FALL,2020,2020-10-03,2021-03-27,84,84,928577,65644,Action|Drama|Supernatural,Urban Fantasy|Shounen|Curses|Super Power|Youkai|Male Protagonist|Exorcism|Primarily Teen Cast|Dissociative Identities|Demons|Orphan|Urban|Body Horror|Primarily Male Cast|Magic|Martial Arts|Ensemble Cast|Shapeshifting|Gore|Anthropomorphism|School|Swordplay|Boarding School|Rotoscoping|Slapstick|Mythology|Archery|Surreal Comedy|Twins|Tragedy|Baseball,Toho|MAPPA|Shueisha|Sumzap|Mainichi Broadcasting System,"A boy fights... for ""the right death."" Hardship, regret, shame: the negative feelings that humans feel become Curses that lurk in our everyday lives. The Curses run rampant throughout the world, capable of leading people to terrible misfortune and even death. What's more, the Curses can only be exorcised by another Curse. Itadori Yuji is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a friend who has been attacked by Curses, he eats the finger of the Double-Faced Specter, taking the Curse into his own soul. From then on, he shares one body with the Double-Faced Specter. Guided by the most powerful of sorcerers, Gojou Satoru, Itadori is admitted to the Tokyo Metropolitan Technical High School of Sorcery, an organization that fights the Curses... and thus begins the heroic tale of a boy who became a Curse to exorcise a Curse, a life from which he could never turn back. (Source: Crunchyroll) Note: The first episode received an early web premiere on September 19th, 2020. The regular TV broadcast started on October 3rd, 2020.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx113415-LHBAeoZDIsnF.jpg,False
1535,1535,DEATH NOTE,Death Note,DEATH NOTE,ANIME,TV,MANGA,37,23,FINISHED,FALL,2006,2006-10-04,2007-06-27,84,84,922997,61830,Mystery|Psychological|Supernatural|Thriller,Crime|Detective|Anti-Hero|Fugitive|Male Protagonist|Police|Philosophy|Primarily Adult Cast|Memory Manipulation|Noir|Gods|Urban Fantasy|Primarily Male Cast|Urban|Unrequited Love|Kuudere|Shounen|Amnesia|Espionage|Yandere|Conspiracy|Feet|Tragedy|Assassins|Suicide|Acting|Time Skip|Youkai|Achronological Order,MADHOUSE|VAP|Viz Media|Nippon Television Network|Konami|Ashi Productions|Shueisha|Selecta Visión,"Light Yagami is a genius high school student who is about to learn about life through a book of death. When a bored shinigami, a God of Death, named Ryuk drops a black notepad called a Death Note, Light receives power over life and death with the stroke of a pen. Determined to use this dark gift for the best, Light sets out to rid the world of evil… namely, the people he believes to be evil. Should anyone hold such power? The consequences of Light’s actions will set the world ablaze. (Source: VIZ Media)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx1535-kUgkcrfOrkUM.jpg,False
21459,31964,Boku no Hero Academia,My Hero Academia,僕のヒーローアカデミア,ANIME,TV,MANGA,13,24,FINISHED,SPRING,2016,2016-04-03,2016-06-26,77,77,844261,33000,Action|Adventure|Comedy,Super Power|Superhero|Shounen|Primarily Teen Cast|Male Protagonist|School|Urban Fantasy|Crime|Ensemble Cast|Rescue|Bullying|Primarily Male Cast|Cultivation|Prison,bones|Dentsu|Mainichi Broadcasting System|Toho|Movic,"What would the world be like if 80 percent of the population manifested extraordinary superpowers called “Quirks” at age four? Heroes and villains would be battling it out everywhere! Becoming a hero would mean learning to use your power, but where would you go to study? U.A. High's Hero Program of course! But what would you do if you were one of the 20 percent who were born Quirkless? Middle school student Izuku Midoriya wants to be a hero more than anything, but he hasn't got an ounce of power in him. With no chance of ever getting into the prestigious U.A. High School for budding heroes, his life is looking more and more like a dead end. Then an encounter with All Might, the greatest hero of them all gives him a chance to change his destiny… (Source: VIZ Media)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21459-nYh85uj2Fuwr.jpg,False
11061,11061,HUNTER×HUNTER (2011),Hunter x Hunter (2011),HUNTER×HUNTER (2011),ANIME,TV,MANGA,148,24,FINISHED,FALL,2011,2011-10-02,2014-09-24,89,89,809836,92885,Action|Adventure|Fantasy,Shounen|Super Power|Male Protagonist|Tragedy|Travel|Ensemble Cast|Martial Arts|Philosophy|Primarily Male Cast|Revenge|Chimera|Anthropomorphism|Primarily Teen Cast|Coming of Age|Criminal Organization|Crime|Virtual World|Urban Fantasy|Environmental|Assassins|Anti-Hero|Body Horror|Mafia|Card Battle|Gangs|Shogi|Gore|Transgender|Animals|Video Games|Board Game|Yandere|Amnesia,MADHOUSE|VAP|Viz Media|Nippon Television Network|Studio Live,"A new adaption of the manga of the same name by Togashi Yoshihiro. A Hunter is one who travels the world doing all sorts of dangerous tasks. From capturing criminals to searching deep within uncharted lands for any lost treasures. Gon is a young boy whose father disappeared long ago, being a Hunter. He believes if he could also follow his father's path, he could one day reunite with him. After becoming 12, Gon leaves his home and takes on the task of entering the Hunter exam, notorious for its low success rate and high probability of death to become an official Hunter. He befriends the revenge-driven Kurapika, the doctor-to-be Leorio and the rebellious ex-assassin Killua in the exam, with their friendship prevailing throughout the many trials and threats they come upon taking on the dangerous career of a Hunter.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx11061-y5gsT1hoHuHw.png,False
21087,30276,One Punch Man,One-Punch Man,ワンパンマン,ANIME,TV,MANGA,12,24,FINISHED,FALL,2015,2015-10-05,2015-12-21,83,83,743926,31853,Action|Comedy|Sci-Fi|Supernatural,Superhero|Super Power|Parody|Male Protagonist|Satire|Surreal Comedy|Urban Fantasy|Urban|Cyborg|Primarily Adult Cast|Kaiju|Seinen|Aliens|Cultivation|Anthropomorphism|Primarily Male Cast|Gods|Martial Arts|Demons|Henshin|Fitness,MADHOUSE|TV Tokyo|Bandai Visual|Viz Media|Lantis|Shueisha|Banpresto|Asatsu DK|Good Smile Company,"Saitama has a rather peculiar hobby, being a superhero, but despite his heroic deeds and superhuman abilities, a shadow looms over his life. He's become much too powerful, to the point that every opponent ends up defeated with a single punch. The lack of challenge has driven him into a state of apathy, as he watches his life pass by having lost all enthusiasm, at least until he's unwillingly thrust in the role of being a mentor to the young and revenge-driven Genos.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21087-B5DHjqZ3kW4b.jpg,False
21,21,ONE PIECE,ONE PIECE,ONE PIECE,ANIME,TV,MANGA,,24,RELEASING,FALL,1999,1999-10-20,,87,87,715898,104610,Action|Adventure|Comedy|Drama|Fantasy,Pirates|Travel|Shounen|Ensemble Cast|Super Power|Found Family|Male Protagonist|Conspiracy|Ships|Tragedy|Slapstick|Time Skip|Politics|War|Slavery|Dystopian|Fugitive|Gods|Crime|Lost Civilization|Swordplay|Monster Boy|Henshin|Philosophy|Anthropomorphism|Shapeshifting|Cyborg|Food|Primarily Adult Cast|Anti-Hero|Animals|Skeleton|Medicine|Samurai|Prison|Anachronism|Guns|Robots|Desert|Post-Apocalyptic|Espionage|Indigenous Cultures|Royal Affairs|Dragons|Marriage|Artificial Intelligence|Nudity|Kuudere|Drugs|Asexual|Monster Girl|Fairy|Revenge|Assassins|Battle Royale|Adoption|Demons|Mermaid|Ninja|Time Manipulation|Aromantic|Kabuki|Dinosaurs|Musical Theater|Arranged Marriage|Gender Bending|Clone|Angels|Zombie|Trains|Unrequited Love|Blackmail|Fake Relationship|Boxing,Toei Animation|Funimation|Fuji TV|4Kids Entertainment|TAP|Asatsu DK|Magic Bus|Mushi Production|Studio Guts|Asahi Production|Avex Pictures,"Gold Roger was known as the Pirate King, the strongest and most infamous being to have sailed the Grand Line. The capture and death of Roger by the World Government brought a change throughout the world. His last words before his death revealed the location of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece (which promises an unlimited amount of riches and fame), and quite possibly the most coveted of titles for the person who found it, the title of the Pirate King. Enter Monkey D. Luffy, a 17-year-old boy that defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate who ransacks villages for fun, Luffy’s reason for being a pirate is one of pure wonder; the thought of an exciting adventure and meeting new and intriguing people, along with finding One Piece, are his reasons of becoming a pirate. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach One Piece. *This includes the following special episodes: - Chopperman to the Rescue! Protect the TV Station by the Shore! (Episode 336) - The Strongest Tag-Team! Luffy and Toriko's Hard Struggle! (Episode 492) - Team Formation! Save Chopper (Episode 542) - History's Strongest Collaboration vs. Glutton of the Sea (Episode 590) - 20th Anniversary! Special Romance Dawn (Episode 907)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21-ELSYx3yMPcKM.jpg,False
20605,22319,Tokyo Ghoul,Tokyo Ghoul,東京喰種 トーキョーグール,ANIME,TV,MANGA,12,24,FINISHED,SUMMER,2014,2014-07-04,2014-09-19,76,76,714050,25679,Action|Drama|Horror|Mystery|Psychological|Supernatural,Gore|Urban Fantasy|Tragedy|Survival|Body Horror|Human Experimentation|Male Protagonist|Torture|Henshin|Seinen|Anti-Hero|Coming of Age|Cannibalism|Urban|Police|Detective|Crime|Primarily Adult Cast|Mythology|Military|Terrorism|College|Heterosexual|Femboy,Studio Pierrot|Marvelous|TC Entertainment|Studio Pierrot,"The suspense horror/dark fantasy story is set in Tokyo, which is haunted by mysterious ""ghouls"" who are devouring humans. People are gripped by the fear of these ghouls whose identities are masked in mystery. An ordinary college student named Kaneki encounters Rize, a girl who is an avid reader like him, at the café he frequents. Little does he realize that his fate will change overnight. (Source: Anime News Network)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b20605-k665mVkSug8D.jpg,False
20958,25777,Shingeki no Kyojin Season 2,Attack on Titan Season 2,進撃の巨人 Season２,ANIME,TV,MANGA,12,25,FINISHED,SPRING,2017,2017-04-01,2017-06-17,85,85,708252,20686,Action|Drama|Fantasy|Mystery,Survival|Post-Apocalyptic|Shapeshifting|Tragedy|Espionage|Military|Kaiju|Dystopian|Primarily Teen Cast|Gore|Revenge|Politics|Henshin|Medieval|Anti-Hero|Ensemble Cast|Super Power|Shounen|Male Protagonist|Cult|Dissociative Identities|Coming of Age|Steampunk|Cannibalism|Kuudere|Primarily Male Cast|CGI|Swordplay|Yuri|Primarily Adult Cast|Unrequited Love|Matriarchy|Rural|LGBTQ+ Themes|Boarding School,WIT STUDIO|Pony Canyon|Kodansha|Production I.G|Dentsu|Pony Canyon Enterprise|Mainichi Broadcasting System|Funimation,"Eren Jaeger swore to wipe out every last Titan, but in a battle for his life he wound up becoming the thing he hates most. With his new powers, he fights for humanity's freedom facing the monsters that threaten his home. After a bittersweet victory against the Female Titan, Eren finds no time to rest—a horde of Titans is approaching Wall Rose and the battle for humanity continues! (Source: Funimation)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20958-HuFJyr54Mmir.jpg,False
