seed_id,seed_title,rec_1_title,rec_1_label,rec_1_score_10,rec_1_reason,rec_2_title,rec_2_label,rec_2_score_10,rec_2_reason,rec_3_title,rec_3_label,rec_3_score_10,rec_3_reason,rec_4_title,rec_4_label,rec_4_score_10,rec_4_reason,rec_5_title,rec_5_label,rec_5_score_10,rec_5_reason,rec_6_title,rec_6_label,rec_6_score_10,rec_6_reason,rec_7_title,rec_7_label,rec_7_score_10,rec_7_reason,rec_8_title,rec_8_label,rec_8_score_10,rec_8_reason,rec_9_title,rec_9_label,rec_9_score_10,rec_9_reason,rec_10_title,rec_10_label,rec_10_score_10,rec_10_reason,rec_11_title,rec_11_label,rec_11_score_10,rec_11_reason,rec_12_title,rec_12_label,rec_12_score_10,rec_12_reason,rec_13_title,rec_13_label,rec_13_score_10,rec_13_reason,rec_14_title,rec_14_label,rec_14_score_10,rec_14_reason,rec_15_title,rec_15_label,rec_15_score_10,rec_15_reason
20954,A Silent Voice,Your lie in April,2,9,Both feature teen protagonists dealing with loss of a sense (hearing) and use music as a path to emotional healing.,given,2,9,"Centers on a deaf/traumatized teen finding connection through music, mirroring A Silent Voice's disability and redemption themes.","Josee, the Tiger and the Fish",2,8,"Explores a romance between a able‑bodied youth and a physically disabled girl, focusing on rehabilitation and emotional growth.",The Anthem of the Heart,2,8,"Protagonist loses her voice after trauma, undergoing rehabilitation and confronting past guilt, similar to Shouya's remorse.",Anohana: The Flower We Saw That Day,2,8,"Teen group deals with guilt and loss after a tragic accident, emphasizing redemption and coming‑of‑age.",Clannad: After Story,2,7,"A deeply emotional slice‑of‑life drama about tragedy, family, and personal growth that resonates with A Silent Voice's tone.",Fruits Basket The Final Season,2,7,"Shares themes of trauma, rehabilitation, and coming‑of‑age within a teen ensemble, though set in a supernatural context.",I Want to Eat Your Pancreas,1,6,"Focuses on a terminal illness and the impact on a teen relationship, offering a similar bittersweet emotional core.",5 Centimeters per Second,1,6,"A poignant teen romance with time‑skip and tragedy, echoing the melancholy of A Silent Voice.",ReLIFE,1,5,"Features a protagonist undergoing a rehabilitation‑style program to relive high‑school life, touching on regret and growth.",Anohana the Movie: The Flower We Saw That Day,1,5,"Movie version of Anohana, delivering the same themes of guilt, friendship, and emotional healing.",Tokyo Ghoul,1,4,"Explores a teen’s dark transformation after trauma, offering a grittier take on alienation and self‑acceptance.",Kimi ni Todoke: From Me to You Season 3,1,4,"A gentle teen romance about overcoming social anxiety, aligning loosely with the school‑life aspect.",BEASTARS,1,4,"Depicts social hierarchy and personal insecurity in a school setting, though with an anthropomorphic twist.",My Teen Romantic Comedy SNAFU TOO!,1,4,"Shows a cynical teen navigating social dynamics and personal growth, providing a lighter counterpart to A Silent Voice."
20613,Akame ga Kill!,Berserk,2,9,"Dark medieval epic with brutal gore, anti‑hero swordplay and political betrayal mirroring Akame’s tone.",Attack on Titan,2,8,"Grim survival against an oppressive regime, high‑stakes combat and tragic revenge.",Tokyo Ghoul,2,8,"Tormented anti‑hero, graphic horror and secretive conspiracies in a modern dark fantasy.",Death Note,2,7,Psychological cat‑and‑mouse thriller featuring a charismatic anti‑hero wielding lethal power.,Danganronpa 3: The End of Hope’s Peak High School - Despair Arc,1,6,"Death‑game setting with murderous intrigue, tragedy and anti‑heroic characters.",Fullmetal Alchemist: Brotherhood,1,6,"Political conspiracy, moral ambiguity and tragic sacrifices in a fantasy world.",Fate/stay night [Heaven’s Feel] III. spring song,1,6,Dark supernatural conflict with anti‑hero motives and graphic violence.,Vampire Hunter D: Bloodlust,1,6,Gothic anti‑hero hunts monsters with swordplay and heavy violence in a bleak world.,JUJUTSU KAISEN,1,5,"Shounen action with curses, moral ambiguity and plenty of gore in a modern supernatural setting.",Puella Magi Madoka Magica,1,5,"Dark magical‑girl tragedy with anti‑heroic twists, brutal fate and psychological horror.",Made in Abyss: Dawn of the Deep Soul,1,5,"Harsh adventure with extreme gore, psychological terror and tragic survival.",Re:ZERO -Starting Life in Another World-,1,5,Time‑loop tragedy featuring a desperate protagonist facing brutal conspiracies.,Hunter x Hunter (2011),1,5,"Complex political arcs, dark battles and anti‑heroic characters with strategic violence.",The Promised Neverland,1,4,Suspenseful survival thriller with conspiracies and a grim tone similar to Akame’s world.,Angels of Death,1,4,"Survival horror with a female protagonist and deadly assassins in a bleak, violent setting."
6547,Angel Beats!,Little Busters!,2,9,"Key’s emotional drama with an ensemble cast and after‑life twist mirrors Angel Beats!’ blend of comedy, tragedy, and supernatural school setting.",JUJUTSU KAISEN,2,9,"Modern supernatural school battle series with ensemble cast, dark humor, and emotional stakes comparable to Angel Beats!.",Clannad,2,8,"Shares Key’s focus on teen ensemble, deep emotional arcs, and supernatural elements like ghosts and afterlife reflections.",Charlotte,2,8,"Features teen protagonists with special powers, tragic backstories, and a mix of comedy and drama akin to Angel Beats!’ tone.",Toilet-bound Hanako-kun,2,8,"School‑based ghost story blending comedy, tragedy, and after‑life mythology, echoing Angel Beats!’ setting and tone.",Mob Psycho 100,1,6,"Supernatural teen series balancing humor, action, and personal growth, though lacking the after‑life premise.",Fullmetal Alchemist: Brotherhood,1,6,"Ensemble‑driven tragedy with supernatural powers and strong character bonds, similar emotional depth.",Shakugan no Shana,1,5,"Action‑filled supernatural school battles with humor and drama, offering a comparable energetic vibe.",Tokyo Ghoul,1,5,"Dark supernatural teen drama exploring identity and tragedy, resonating with Angel Beats!’ emotional intensity.",My Hero Academia,1,5,"Super‑power school setting with ensemble cast and coming‑of‑age themes, matching the energetic side of Angel Beats!.",Demon Slayer: Kimetsu no Yaiba,1,5,"Intense supernatural action with tragic family loss and strong emotional core, appealing to Angel Beats! fans.",Attack on Titan,0,3,Post‑apocalyptic battle series with high stakes but limited thematic overlap with Angel Beats!.,Death Note,0,2,"Psychological thriller focused on moral games, offering little similarity to Angel Beats!’ after‑life school setting.",Lucifer and the Biscuit Hammer,0,2,"Surreal supernatural adventure with philosophical themes, but lacks the school/after‑life focus.",DAN DA DAN,0,2,"Quirky supernatural comedy with ghosts and youkai, yet its tone and premise differ markedly from Angel Beats!."
20755,Assassination Classroom,Assassination Classroom Second Season,2,10,"Direct continuation of the same story, extending the class‑3E vs. Koro‑sensei plot.",Angel Beats!,2,8,"Shares the school setting, teen ensemble, supernatural conflict and a blend of comedy and drama.",Ansatsu Kyoushitsu: Jump Festa 2013 Special,2,7,"A special episode from the same franchise, offering extra jokes and character moments.",Mob Psycho 100,2,7,"Features a super‑powered teen protagonist, comedic tone and school‑based antics similar to Assassination Classroom.",Mob Psycho 100 II,1,6,"Sequel to Mob Psycho 100, continuing the mix of action, humor and teenage supernatural abilities.",Charlotte,1,6,"Teen ensemble with unique powers, emotional stakes and a blend of comedy and tragedy.",DAN DA DAN,1,6,"Combines school life, supernatural foes and absurd comedy, echoing the chaotic vibe of Assassination Classroom.",DAN DA DAN Season 2,1,5,"Second season of DAN DA DAN, extending the same quirky supernatural‑school formula.",Dandadan 3rd Season,1,5,"Third season of Dandadan, keeping the high‑energy assassin‑versus‑monster premise.",Bungo Stray Dogs,1,5,Ensemble of super‑powered teens battling supernatural threats in a school‑adjacent setting.,SPY x FAMILY,1,5,"Features an assassin protagonist and comedic family dynamics, appealing to fans of quirky action.",Mob Psycho 100 III,1,4,"Third season of Mob Psycho 100, offering more surreal comedy and teen super‑power drama.",Shakugan no Shana,1,4,"School‑based supernatural battles with an anti‑hero lead, similar in tone to Assassination Classroom.",Toilet-bound Hanako-kun,1,4,"Combines school life, ghosts and comedic drama, matching the series’ blend of humor and the supernatural.",Scissor Seven Season 4,1,4,"Focuses on assassins and comedic action, providing a thematically related but non‑school experience."
16498,Attack on Titan,Attack on Titan Season 2,2,10,"Season 2 continues the story directly after the events of the seed, expanding the Titan conflict and character arcs.",Attack on Titan Season 3,2,9,Season 3 picks up the plot with deeper conspiracies and the battle for humanity’s secrets.,Attack on Titan Season 3 Part 2,2,9,Season 3 Part 2 concludes the arc with the retaking of Shiganshina and major revelations.,Attack on Titan Final Season,2,9,"Final Season advances the war beyond the walls, showing Eren’s drastic new powers.",Attack on Titan Final Season Part 2,2,8,Final Season Part 2 intensifies the global conflict and explores the consequences of Eren’s actions.,Attack on Titan Final Season THE FINAL CHAPTERS Special 1,2,8,"The special episode offers exclusive footage and a bridge to the final arc, enriching the narrative.",Fullmetal Alchemist: Brotherhood,2,8,"Fullmetal Alchemist: Brotherhood shares military intrigue, tragic stakes, and moral dilemmas akin to AoT.",Attack on Titan: Lost Girls,2,7,"Lost Girls provides an alternate perspective focusing on Annie and Mikasa, deepening the lore.",Attack on Titan ~Chronicle~,1,6,"Chronicle compiles the first three seasons, useful for catching up on the core story.",Seraph of the End: Vampire Reign,1,6,"Seraph of the End features a post‑apocalyptic world, military factions, and revenge‑driven plot similar to AoT.",NieR:Automata Ver1.1a,1,6,"NieR:Automata presents a dystopian, post‑human war with philosophical themes and intense action.",Wolf's Rain,1,5,"Wolf's Rain follows survivors in a bleak future, emphasizing survival and hidden identities.",Land of the Lustrous,1,5,Land of the Lustrous offers a post‑apocalyptic setting with memory manipulation and existential conflict.,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,1,5,"Demon Slayer’s Mugen Train arc delivers high‑stakes battles, tragedy, and a teen‑centered cast.",JUJUTSU KAISEN,1,4,"Jujutsu Kaisen delivers supernatural battles, a teen ensemble, and dark themes resonating with AoT’s tone."
110277,Attack on Titan Final Season,Attack on Titan Final Season THE FINAL CHAPTERS Special 1,2,10,"Direct continuation of the Final Season, showing Eren's ultimate power and the climax of the war.",Attack on Titan Final Season THE FINAL CHAPTERS Special 2,2,10,"Concludes the final battle and directly follows Special 1, wrapping up the story.",Attack on Titan Final Season Part 2,2,9,"Final Season Part 2 is the next episode arc after the seed, continuing the same plotline.",Attack on Titan Season 3 Part 2,2,9,Season 3 Part 2 continues the narrative that leads directly into the Final Season.,Attack on Titan Season 3,2,8,"Season 3 deepens the political intrigue, war, and tragedy that define the series.",Fullmetal Alchemist: Brotherhood,2,8,"Fullmetal Alchemist: Brotherhood shares war, tragedy, anti‑hero themes and complex politics similar to AOT.",Attack on Titan Season 2,2,7,Season 2 expands the Titan mystery and introduces key conspiracies that shape the later story.,Attack on Titan,2,7,"Season 1 establishes the world, Titans, and survival horror that form the series' core.",NieR:Automata Ver1.1a,2,7,"NieR:Automata offers post‑apocalyptic war, anti‑hero protagonists and philosophical tragedy akin to AOT's tone.",Wolf's Rain,1,6,"Wolf's Rain features dystopian survival, shapeshifting wolves and a bleak world reminiscent of AOT.",Made in Abyss: Dawn of the Deep Soul,1,6,"Made in Abyss: Dawn of the Deep Soul delivers intense survival, tragedy and hidden horrors similar in mood.",The Case Study of Vanitas,1,6,"The Case Study of Vanitas provides dark fantasy, anti‑hero vampire and conspiracy elements.",Lord of Mysteries,1,5,"Lord of Mysteries blends steampunk conspiracy, cosmic horror and an anti‑hero journey.",Land of the Lustrous,1,5,Land of the Lustrous presents existential post‑apocalyptic conflict with shapeshifting beings.,Tokyo Ghoul,1,5,"Tokyo Ghoul explores anti‑hero survival, tragedy and societal conflict in a dark setting."
20958,Attack on Titan Season 2,Attack on Titan Season 3,2,10,"Direct continuation of the story after Season 2, advancing the plot and characters.",Attack on Titan Season 3 Part 2,2,9,"Second half of Season 3, picking up exactly where Part 1 left off.",Attack on Titan Final Season,2,9,"Continues after Season 3, showing the war and Eren’s new role in the series.",Attack on Titan Final Season Part 2,2,8,"Second part of the Final Season, further developing the climax of the saga.",Attack on Titan Final Season THE FINAL CHAPTERS Special 1,2,8,"Special episode bridging the Final Season arcs, deepening the concluding storyline.",Attack on Titan Final Season THE FINAL CHAPTERS Special 2,2,8,Second special episode that concludes the Final Season narrative.,Attack on Titan: Lost Girls,2,7,"OVA focusing on Annie, offering extra perspective within the same world.",Attack on Titan: The Roar of Awakening,1,6,"Compilation film summarizing Season 2 events, useful as a refresher.",Seraph of the End: Vampire Reign,1,6,Post‑apocalyptic vampire war with military themes similar to the Titans conflict.,NieR:Automata Ver1.1a,1,6,"Post‑apocalyptic sci‑fi with existential war and androids, echoing AOT’s bleak tone.",Land of the Lustrous,1,6,"CGI series about crystalline beings battling alien threats, sharing survival and tragedy.",Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,1,6,"Dark fantasy with monster hunters on a train, matching AOT’s intense action and tragedy.",Attack on Titan ~Chronicle~,1,5,"Compilation movie covering the first three seasons, providing broader context.",Wolf's Rain,1,5,"Post‑apocalyptic tale of wolves seeking paradise, similar survival and shapeshifting motifs.",The Case Study of Vanitas,1,5,"Gothic supernatural series with conspiracies and a tragic anti‑hero, resonating with AOT’s dark themes."
99147,Attack on Titan Season 3,Attack on Titan Final Season,2,10,"Continues the story directly after Season 3, following Eren's new powers and the war.",Attack on Titan Season 3 Part 2,2,9,"Picks up the political arc’s climax and the Shiganshina battle, the immediate next episodes of the same season.",Attack on Titan Final Season Part 2,2,8,"Further continuation of the final season, deepening the conflict introduced in Season 3.",Attack on Titan Final Season THE FINAL CHAPTERS Special 1,2,7,"Special episode that bridges the final season’s climax, offering extra context for fans.",Fullmetal Alchemist: Brotherhood,2,7,"Shares military conspiracy, tragic sacrifices, and philosophical themes of power and truth.",Attack on Titan,1,6,"The origin of the world and characters, essential background for Season 3 viewers.",Attack on Titan Season 2,1,5,Expands the mystery of the Titans and introduces key plot elements leading to Season 3.,Attack on Titan: Lost Girls,1,5,"OVA focusing on side characters, provides extra character depth in the same setting.",Seraph of the End: Vampire Reign,1,5,"Post‑apocalyptic setting with military factions, revenge motives, and supernatural enemies.",Lord of Mysteries,1,5,"Victorian‑steampunk conspiracy and magic, appealing to fans of AOT’s political intrigue.",NieR:Automata Ver1.1a,1,5,"Dystopian world, existential tragedy, and large‑scale battles reminiscent of AOT’s tone.",The Case Study of Vanitas,1,4,"Dark fantasy with conspiracy, tragedy, and anti‑hero protagonists similar to AOT’s atmosphere.",Land of the Lustrous,1,4,"Post‑apocalyptic world, shapeshifting beings, and philosophical musings on survival.",Made in Abyss: Dawn of the Deep Soul,1,4,"Harsh adventure with deep tragedy and mystery, matching AOT’s grim stakes.",Wolf's Rain,0,3,"Features shapeshifting wolves in a dystopian quest, but differs in tone and style, offering only a distant thematic echo."
104578,Attack on Titan Season 3 Part 2,Attack on Titan Final Season Part 2,2,10,"Direct continuation of the story, picking up immediately after Season 3 Part 2.",Attack on Titan Final Season,2,9,"First half of the Final Season, extending the epic conflict introduced in Season 3.",Attack on Titan Season 3,2,8,"Full Season 3 arc that directly precedes the Final Season, providing essential context.",Attack on Titan Season 2,2,8,Deepens the conspiracy and military intrigue that culminate in Season 3.,Attack on Titan,2,8,"Establishes the world, Titans and core themes that drive later seasons.",Seraph of the End: Vampire Reign,1,6,Post‑apocalyptic war and militaristic struggle similar to AoT’s setting.,Tokyo Ghoul,1,6,Dark urban fantasy with survival and anti‑hero themes echoing AoT’s tone.,NieR:Automata Ver1.1a,1,6,"Post‑apocalyptic sci‑fi action exploring existential war, resonating with AoT’s bleak atmosphere.",Wolf's Rain,1,6,"Survival‑focused post‑apocalyptic tale with shapeshifting wolves, thematically parallel to AoT.",Land of the Lustrous,1,5,"CGI‑driven post‑apocalyptic drama about fragile beings fighting for survival, echoing AoT’s existential dread.",Made in Abyss: Dawn of the Deep Soul,1,5,"Dark adventure with high stakes and tragic sacrifices, matching AoT’s intensity.",The Case Study of Vanitas,1,5,"Gothic fantasy with conspiracies and anti‑hero vampires, appealing to AoT fans of mystery.",Attack on Titan: Lost Girls,1,5,OVA focusing on Annie expands the AoT universe with familiar tone.,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,1,5,High‑stakes battle on a moving train with tragic tone similar to AoT’s intense combat.,Tower of God,1,5,Ensemble cast climbing a mysterious tower with conspiracy and survival elements reminiscent of AoT.
97940,Black Clover,Black Clover Season 2,2,10,Direct continuation of Black Clover's story.,Black Clover: Sword of the Wizard King,2,9,Feature film expanding Black Clover lore with new wizard‑king conflict.,Fairy Tail,2,8,Magic guild with strong found‑family ensemble mirrors Black Clover.,JUJUTSU KAISEN,2,8,"Dark magical shounen where curses and demons drive battles, appealing to Black Clover fans.",My Hero Academia,2,8,School of super‑powers and ensemble cast gives comparable shounen vibe.,Hunter x Hunter (2011),2,8,Complex power system and adventure focus resonate with Black Clover’s magic battles.,Naruto: Shippuden,2,7,Orphan hero with revenge drive and shounen action comparable to Asta.,ONE PIECE,2,7,"Pirate adventure with a found‑family crew in a fantasy world, akin to Black Clover’s camaraderie.",The Seven Deadly Sins,2,7,Demon‑filled magic battles and diverse cast align closely with Black Clover.,Attack on Titan,2,7,"Intense battles, power scaling and dark fantasy themes similar to Black Clover’s later arcs.",Demon Slayer: Kimetsu no Yaiba,1,6,Demon‑hunting orphan seeking revenge shares dark magic and determination.,The Seven Deadly Sins: Revival of the Commandments,1,6,Direct sequel deepening demon‑lord themes from the original series.,That Time I Got Reincarnated as a Slime,1,6,Reincarnated protagonist builds a magical kingdom with a found‑family crew.,Fullmetal Alchemist: Brotherhood,1,5,Alchemy as a magic system and shounen camaraderie resemble Black Clover.,The Boy and the Beast,1,5,Orphan finds mentor and surrogate family in a fantastical world.
